Random;Base;LLM;SE;Random
10% missing;1;1.041697142;;1.659082976
10% missing;1;0.726153238;1.467475;1.513655775
10% missing;1;1.075392239;1.107289303;1.207450398
10% missing;1;1.345647192;2.268385309;4.762166124
10% missing;1;1.74153993;7.144740815;1.001705906
10% missing;1;2.636502323;1.481399062;1.123577808
10% missing;1;0.455975216;0.653469445;1.134455223
10% missing;1;1.045307383;1.082716439;1.134430776
10% missing;1;1.650871174;1.063649279;1.076845548
10% missing;1;3.168498275;3.113173224;2.537284797
10% missing;1;7.9446024;4.370947613;0.993841664
10% missing;1;3.004841771;4.159173266;4.02362239
10% missing;1;6.049024895;7.911394202;1.088429981
10% missing;1;2.475393877;2.004736669;2.653965846
20% missing;0.992920354;1.085083494;;1.724496499
20% missing;1.0625;0.813021659;1.582600394;1.519107244
20% missing;1.019900498;1.295858209;1.261979534;1.300939575
20% missing;1.299005682;1.41729167;2.770902839;5.724688623
20% missing;1.313432836;1.92650694;7.952549663;1.369006315
20% missing;1.246941046;2.71118489;1.74102544;1.315764596
20% missing;1.01996008;0.47069917;0.667817126;1.196044329
20% missing;1.10488677;1.037523624;1.053328355;1.168541081
20% missing;1.097410604;1.68550948;1.109197359;1.151329992
20% missing;1.103301401;3.692100813;2.959752559;2.333299406
20% missing;1.1266737;10.68634529;6.895375642;1.188015551
20% missing;1.406857143;3.390320134;4.818676525;4.191763408
20% missing;1.175;6.56746355;8.586934757;1.160084877
20% missing;1.096046003;3.069147537;2.313143214;2.888795581
30% missing;1.090265487;1.128365549;;1.777737876
30% missing;1.21875;0.705394156;1.669979653;1.663598253
30% missing;1.176616915;1.309633509;1.183880407;1.324040854
30% missing;1.6953125;1.492811529;3.11016631;6.523336661
30% missing;1.850746269;2.059283194;8.30546396;1.850446543
30% missing;1.601779755;3.346214885;2.142433113;1.657588338
30% missing;1.053892216;0.468593548;0.697392837;1.236776464
30% missing;1.10727056;1.065153359;1.112908885;1.2764589
30% missing;1.203452528;1.721997058;1.189422017;1.205705368
30% missing;1.252207939;4.512579444;3.502735318;2.854046428
30% missing;1.732857259;15.18412262;7.333704824;1.634162572
30% missing;1.980571429;4.032377387;5.242475968;4.780008577
30% missing;1.37;7.354267825;9.455702832;1.332240387
30% missing;1.242370539;3.253186309;2.497863476;4.338093751
40% missing;1.260176991;1.162553839;;1.995891837
40% missing;1.28125;0.871265184;1.790437172;1.666323178
40% missing;1.082089552;1.188098648;1.301315434;1.271161919
40% missing;2.379261364;1.562054222;4.07633444;7.217570724
40% missing;2.626865672;2.258587333;9.482182696;2.59220487
40% missing;1.977753059;3.615315912;2.645195244;1.996808416
40% missing;1.05988024;0.480603768;0.68277996;1.249311768
40% missing;1.147794994;1.083116034;1.102426788;1.253158838
40% missing;1.274969174;1.774120785;1.26065825;1.275434023
40% missing;1.557912204;5.065949007;4.050542414;3.566320682
40% missing;2.221374665;14.65379602;9.772135301;2.546485925
40% missing;2.730285714;4.544591896;8.535916875;6.000407269
40% missing;1.855;8.002401898;12.95483539;1.811940443
40% missing;1.42355048;4.209836315;2.745268424;4.512010489
50% missing;1.384070796;1.21932426;;2.078812474
50% missing;1.4375;0.941138547;1.965738422;1.705728219
50% missing;1.07960199;1.284903594;1.204080151;1.181315474
50% missing;3.203835227;1.686958933;4.813656903;8.044071797
50% missing;3.626865672;2.446189825;10.10398894;3.796321846
50% missing;2.480533927;4.055090275;3.264295257;2.827219387
50% missing;1.125748503;0.486639004;0.666407741;1.278653859
50% missing;1.200238379;1.055605991;1.116510652;1.322287156
50% missing;1.399506782;1.825511178;1.336307654;1.4212779
50% missing;2.020905494;6.090069087;4.952641508;3.764483041
50% missing;3.769942384;20.32625481;12.49781489;3.353661318
50% missing;3.528;5.855133433;9.331730126;6.595080635
50% missing;2.305;9.082384633;13.79526077;2.624728743
50% missing;1.76602574;4.639194897;3.063286832;5.528815175
