Country;WHO region;World Bank income group;Year;Community health workers density (per 10 000 population);Comments;Number of personal care workers;Number of nursing and midwifery personnel;
Gambia [Africa];null;null;2008;0.72;null;;1411.0;
Malawi [Africa];null;null;2008;7.32;null;;3896.0;
Sao Tome and Principe [Africa];null;null;2004;9.091;null;;308.0;
Botswana [Africa];null;null;2006;5.23;null;;5006.0;
Nigeria [Africa];null;null;2008;1.38;null;;224943.0;
Bangladesh [South-East Asia];null;null;2007;3.31;null;;23183.0;
Equatorial Guinea [Africa];null;null;2004;6.08;null;;271.0;
Maldives [South-East Asia];null;null;2007;13.82;null;;1539.0;
null;null;Lower-middle-income;2007;1.0;null;;3344332.0;
Papua New Guinea [Western Pacific];null;null;2008;6.24;null;;2844.0;
null;South-East Asia;null;2005;0.9;Data for years 2000-2009;;2224133;
Mauritius [Africa];null;null;2004;1.91;null;;4604.0;
Timor-Leste [South-East Asia];null;null;2004;0.122;null;;1795.0;
Mongolia [Western Pacific];null;null;2008;0.22;null;;9605.0;
null;null;Upper-middle-income;2007;8.0;null;;5540923.0;
Burundi [Africa];null;null;2004;0.78;null;;1348.0;
null;Western Pacific;null;2005;8.1;Data for years 2000-2009;;3599720;
Saint Vincent and the Grenadines [Americas];null;null;2000;3.814;null;;447.0;
Madagascar [Africa];null;null;2004;0.22;null;;5081.0;
null;Eastern Mediterranean;null;2005;1.3;Data for years 2000-2009;;870490;
Ethiopia [Africa];null;null;2007;3.03;null;;18146.0;
Yemen [Eastern Mediterranean];null;null;2004;1.226;null;;13746.0;
Iran (Islamic Republic of) [Eastern Mediterranean];null;null;2004;3.62;null;;96262.0;
Cambodia [Western Pacific];null;null;2004;1.13;null;;;
Nauru [Western Pacific];null;null;2009;2.14;null;;99.0;
Sierra Leone [Africa];null;null;2008;0.223;null;;991.0;
null;Global;null;2005;4;null;;19400000;
China [Western Pacific];null;null;2009;8.27;null;;1854818.0;
Pakistan [Eastern Mediterranean];null;null;2009;0.63;null;;95538.0;
Burkina Faso [Africa];null;null;2006;0.91;null;;;
Myanmar [South-East Asia];null;null;2008;0.63;null;;41424.0;
Belize [Americas];null;null;2009;5.43;null;;570.0;
Central African Republic [Africa];null;null;2004;0.25;null;;1613.0;
Nepal [South-East Asia];null;null;2004;6.3;null;;11825.0;
Cabo Verde [Africa];null;null;2004;1.37;null;;;
Eswatini [Africa];null;null;2004;36.934;null;;6828.0;
Cook Islands [Western Pacific];null;null;2009;5.0;null;;116.0;
India [South-East Asia];null;null;2005;0.46;null;;1481270.0;
Nauru [Western Pacific];null;null;2008;10;null;;69.0;
Guinea-Bissau [Africa];null;null;2004;15.31;null;;1072.0;
Rwanda [Africa];null;null;2004;14.15;null;557.0;3647.0;
Grenada [Americas];null;null;1998;4.88;null;;326;
Saint Kitts and Nevis [Americas];null;null;2000;15.48;null;;198;
Vanuatu [Western Pacific];null;null;2008;9.464;null;;380.0;
null;Western Pacific;null;2007;8.12;null;;3112221.0;
null;South-East Asia;null;2007;0.78;null;;1736755.0;
Chad [Africa];null;null;2004;0.174;null;;2499.0;
null;null;Low-income;2005;2.9;Data for years 2000-2009;;522425;
Micronesia (Federated States of) [Western Pacific];null;null;2008;2.74;null;;280.0;
Mali [Africa];null;null;2004;0.05;null;;8338.0;
New Zealand [Western Pacific];null;null;2001;13.79;null;30987.0;33249.0;
Sudan [Eastern Mediterranean];null;null;2004;1.374;null;;31496.0;
null;null;Global;2005;4;Data for years 2000-2009;;19400000;
null;null;Lower-middle-income;2005;4.2;Data for years 2000-2009;;6208439;
Bhutan [South-East Asia];null;null;2007;0.86;null;;545.0;
Australia [Western Pacific];null;null;2006;0.5;null;;222133.0;
Iraq [Eastern Mediterranean];null;null;2004;0.06;null;;;
Ghana [Africa];null;null;2008;1.92;null;;22834.0;
